Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Stat Total,Cluster_KMeans,Archetype
706,Goodra,Dragon,,90,100,70,110,150,80,600,2,Special Cannons
707,Klefki,Steel,Fairy,57,80,91,80,87,75,470,0,Fast Sweepers
708,Phantump,Ghost,Grass,43,70,48,50,60,38,309,3,Balanced/Mixed
709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,1,Physical Bruisers
710,Pumpkaboo,Ghost,Grass,49,66,70,44,55,51,335,3,Balanced/Mixed
711,Gourgeist,Ghost,Grass,65,90,122,58,75,84,494,4,Bulky Tanks
712,Bergmite,Ice,,55,69,85,32,35,28,304,3,Balanced/Mixed
713,Avalugg,Ice,,95,117,184,44,46,28,514,4,Bulky Tanks
714,Noibat,Flying,Dragon,40,30,35,45,40,55,245,3,Balanced/Mixed
715,Noivern,Flying,Dragon,85,70,80,97,80,123,535,2,Special Cannons
716,Xerneas,Fairy,,126,131,95,131,98,99,680,2,Special Cannons
717,Yveltal,Dark,Flying,126,131,95,131,98,99,680,2,Special Cannons
718,Zygarde,Dragon,Ground,108,100,121,81,95,95,600,1,Physical Bruisers
719,Diancie,Rock,Fairy,50,100,150,100,150,50,600,5,Balanced/Mixed
720,Hoopa,Psychic,Ghost,80,110,60,150,130,70,600,2,Special Cannons
721,Volcanion,Fire,Water,80,110,120,130,90,70,600,2,Special Cannons
722,Rowlet,Grass,Flying,68,55,55,50,50,42,320,3,Balanced/Mixed
723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,0,Fast Sweepers
724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,2,Special Cannons
725,Litten,Fire,,45,65,40,60,40,70,320,3,Balanced/Mixed
726,Torracat,Fire,,65,85,50,80,50,90,420,0,Fast Sweepers
727,Incineroar,Fire,Dark,95,115,90,80,90,60,530,1,Physical Bruisers
728,Popplio,Water,,50,54,54,66,56,40,320,3,Balanced/Mixed
729,Brionne,Water,,60,69,69,91,81,50,420,0,Fast Sweepers
730,Primarina,Water,Fairy,80,74,74,126,116,60,530,2,Special Cannons
731,Pikipek,Normal,Flying,35,75,30,30,30,65,265,3,Balanced/Mixed
732,Trumbeak,Normal,Flying,55,85,50,40,50,75,355,3,Balanced/Mixed
733,Toucannon,Normal,Flying,80,120,75,75,75,60,485,1,Physical Bruisers
734,Yungoos,Normal,,48,70,30,30,30,45,253,3,Balanced/Mixed
735,Gumshoos,Normal,,88,110,60,55,60,45,418,1,Physical Bruisers
736,Grubbin,Bug,,47,62,45,55,45,46,300,3,Balanced/Mixed
737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,5,Balanced/Mixed
738,Vikavolt,Bug,Electric,77,70,90,145,75,43,500,2,Special Cannons
739,Crabrawler,Fighting,,47,82,57,42,47,63,338,3,Balanced/Mixed
740,Crabominable,Fighting,Ice,97,132,77,62,67,43,478,1,Physical Bruisers
741,Oricorio,Fire,Flying,75,70,70,98,70,93,476,0,Fast Sweepers
742,Cutiefly,Bug,Fairy,40,45,40,55,40,84,304,3,Balanced/Mixed
743,Ribombee,Bug,Fairy,60,55,60,95,70,124,464,0,Fast Sweepers
744,Rockruff,Rock,,45,65,40,30,40,60,280,3,Balanced/Mixed
745,Lycanroc,Rock,,75,115,65,55,65,112,487,1,Physical Bruisers
746,Wishiwashi,Water,,45,20,20,25,25,40,175,3,Balanced/Mixed
747,Mareanie,Poison,Water,50,53,62,43,52,45,305,3,Balanced/Mixed
748,Toxapex,Poison,Water,50,63,152,53,142,35,495,5,Balanced/Mixed
749,Mudbray,Ground,,70,100,70,45,55,45,385,1,Physical Bruisers
750,Mudsdale,Ground,,100,125,100,55,85,35,500,1,Physical Bruisers
751,Dewpider,Water,Bug,38,40,52,40,72,27,269,3,Balanced/Mixed
752,Araquanid,Water,Bug,68,70,92,50,132,42,454,5,Balanced/Mixed
753,Fomantis,Grass,,40,55,35,50,35,35,250,3,Balanced/Mixed
754,Lurantis,Grass,,70,105,90,80,90,45,480,5,Balanced/Mixed
755,Morelull,Grass,Fairy,40,35,55,65,75,15,285,3,Balanced/Mixed
756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,5,Balanced/Mixed
757,Salandit,Poison,Fire,48,44,40,71,40,77,320,3,Balanced/Mixed
758,Salazzle,Poison,Fire,68,64,60,111,60,117,480,0,Fast Sweepers
759,Stufful,Normal,Fighting,70,75,50,45,50,50,340,3,Balanced/Mixed
760,Bewear,Normal,Fighting,120,125,80,55,60,60,500,1,Physical Bruisers
761,Bounsweet,Grass,,42,30,38,30,38,32,210,3,Balanced/Mixed
762,Steenee,Grass,,52,40,48,40,48,62,290,3,Balanced/Mixed
763,Tsareena,Grass,,72,120,98,50,98,72,510,1,Physical Bruisers
764,Comfey,Fairy,,51,52,90,82,110,100,485,2,Special Cannons
765,Oranguru,Normal,Psychic,90,60,80,90,110,60,490,2,Special Cannons
766,Passimian,Fighting,,100,120,90,40,60,80,490,1,Physical Bruisers
767,Wimpod,Bug,Water,25,35,40,20,30,80,230,3,Balanced/Mixed
768,Golisopod,Bug,Water,75,125,140,60,90,40,530,4,Bulky Tanks
769,Sandygast,Ghost,Ground,55,55,80,70,45,15,320,3,Balanced/Mixed
770,Palossand,Ghost,Ground,85,75,110,100,75,35,480,5,Balanced/Mixed
771,Pyukumuku,Water,,55,60,130,30,130,5,410,5,Balanced/Mixed
772,Type: Null,Normal,,95,95,95,95,95,59,534,2,Special Cannons
773,Silvally,Normal,,95,95,95,95,95,95,570,2,Special Cannons
774,Minior,Rock,Flying,60,60,100,60,100,60,440,5,Balanced/Mixed
775,Komala,Normal,,65,115,65,75,95,65,480,1,Physical Bruisers
776,Turtonator,Fire,Dragon,60,78,135,91,85,36,485,5,Balanced/Mixed
777,Togedemaru,Electric,Steel,65,98,63,40,73,96,435,1,Physical Bruisers
778,Mimikyu,Ghost,Fairy,55,90,80,50,105,96,476,1,Physical Bruisers
779,Bruxish,Water,Psychic,68,105,70,70,70,92,475,1,Physical Bruisers
780,Drampa,Normal,Dragon,78,60,85,135,91,36,485,2,Special Cannons
781,Dhelmise,Ghost,Grass,70,131,100,86,90,40,517,1,Physical Bruisers
782,Jangmo-o,Dragon,,45,55,65,45,45,45,300,3,Balanced/Mixed
783,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,420,5,Balanced/Mixed
784,Kommo-o,Dragon,Fighting,75,110,125,100,105,85,600,1,Physical Bruisers
785,Tapu Koko,Electric,Fairy,70,115,85,95,75,130,570,1,Physical Bruisers
786,Tapu Lele,Psychic,Fairy,70,85,75,130,115,95,570,2,Special Cannons
787,Tapu Bulu,Grass,Fairy,70,130,115,85,95,75,570,1,Physical Bruisers
788,Tapu Fini,Water,Fairy,70,75,115,95,130,85,570,2,Special Cannons
789,Cosmog,Psychic,,43,29,31,29,31,37,200,3,Balanced/Mixed
790,Cosmoem,Psychic,,43,29,131,29,131,37,400,5,Balanced/Mixed
791,Solgaleo,Psychic,Steel,137,137,107,113,89,97,680,1,Physical Bruisers
792,Lunala,Psychic,Ghost,137,113,89,137,107,97,680,2,Special Cannons
793,Nihilego,Rock,Poison,109,53,47,127,131,103,570,2,Special Cannons
794,Buzzwole,Bug,Fighting,107,139,139,53,53,79,570,4,Bulky Tanks
795,Pheromosa,Bug,Fighting,71,137,37,137,37,151,570,0,Fast Sweepers
796,Xurkitree,Electric,,83,89,71,173,71,83,570,2,Special Cannons
797,Celesteela,Steel,Flying,97,101,103,107,101,61,570,2,Special Cannons
798,Kartana,Grass,Steel,59,181,131,59,31,109,570,4,Bulky Tanks
799,Guzzlord,Dark,Dragon,223,101,53,97,53,43,570,1,Physical Bruisers
800,Necrozma,Psychic,,97,107,101,127,89,79,600,2,Special Cannons
801,Magearna,Steel,Fairy,80,95,115,130,115,65,600,2,Special Cannons
802,Marshadow,Fighting,Ghost,90,125,80,90,90,125,600,1,Physical Bruisers
803,Poipole,Poison,,67,73,67,73,67,73,420,0,Fast Sweepers
804,Naganadel,Poison,Dragon,73,73,73,127,73,121,540,2,Special Cannons
805,Stakataka,Rock,Steel,61,131,211,53,101,13,570,4,Bulky Tanks
806,Blacephalon,Fire,Ghost,53,127,53,151,79,107,570,2,Special Cannons
807,Zeraora,Electric,,88,112,75,102,80,143,600,1,Physical Bruisers
808,Meltan,Steel,,46,65,65,55,35,34,300,3,Balanced/Mixed
809,Melmetal,Steel,,135,143,143,80,65,34,600,4,Bulky Tanks
810,Grookey,Grass,,50,65,50,40,40,65,310,3,Balanced/Mixed
811,Thwackey,Grass,,70,85,70,55,60,80,420,0,Fast Sweepers
812,Rillaboom,Grass,,100,125,90,60,70,85,530,1,Physical Bruisers
813,Scorbunny,Fire,,50,71,40,40,40,69,310,3,Balanced/Mixed
814,Raboot,Fire,,65,86,60,55,60,94,420,0,Fast Sweepers
815,Cinderace,Fire,,80,116,75,65,75,119,530,1,Physical Bruisers
816,Sobble,Water,,50,40,40,70,40,70,310,3,Balanced/Mixed
817,Drizzile,Water,,65,60,55,95,55,90,420,0,Fast Sweepers
818,Inteleon,Water,,70,85,65,125,65,120,530,2,Special Cannons
819,Skwovet,Normal,,70,55,55,35,35,25,275,3,Balanced/Mixed
820,Greedent,Normal,,120,95,95,55,75,20,460,1,Physical Bruisers
821,Rookidee,Flying,,38,47,35,33,35,57,245,3,Balanced/Mixed
822,Corvisquire,Flying,,68,67,55,43,55,77,365,3,Balanced/Mixed
823,Corviknight,Flying,Steel,98,87,105,53,85,67,495,1,Physical Bruisers
824,Blipbug,Bug,,25,20,20,25,45,45,180,3,Balanced/Mixed
825,Dottler,Bug,Psychic,50,35,80,50,90,30,335,5,Balanced/Mixed
826,Orbeetle,Bug,Psychic,60,45,110,80,120,90,505,2,Special Cannons
827,Nickit,Dark,,40,28,28,47,52,50,245,3,Balanced/Mixed
828,Thievul,Dark,,70,58,58,87,92,90,455,0,Fast Sweepers
829,Gossifleur,Grass,,40,40,60,40,60,10,250,3,Balanced/Mixed
830,Eldegoss,Grass,,60,50,90,80,120,60,460,5,Balanced/Mixed
831,Wooloo,Normal,,42,40,55,40,45,48,270,3,Balanced/Mixed
832,Dubwool,Normal,,72,80,100,60,90,88,490,5,Balanced/Mixed
833,Chewtle,Water,,50,64,50,38,38,44,284,3,Balanced/Mixed
834,Drednaw,Water,Rock,90,115,90,48,68,74,485,1,Physical Bruisers
835,Yamper,Electric,,59,45,50,40,50,26,270,3,Balanced/Mixed
836,Boltund,Electric,,69,90,60,90,60,121,490,0,Fast Sweepers
837,Rolycoly,Rock,,30,40,50,40,50,30,240,3,Balanced/Mixed
838,Carkol,Rock,Fire,80,60,90,60,70,50,410,5,Balanced/Mixed
839,Coalossal,Rock,Fire,110,80,120,80,90,30,510,5,Balanced/Mixed
840,Applin,Grass,Dragon,40,40,80,40,40,20,260,3,Balanced/Mixed
841,Flapple,Grass,Dragon,70,110,80,95,60,70,485,1,Physical Bruisers
842,Appletun,Grass,Dragon,110,85,80,100,80,30,485,5,Balanced/Mixed
843,Silicobra,Ground,,52,57,75,35,50,46,315,3,Balanced/Mixed
844,Sandaconda,Ground,,72,107,125,65,70,71,510,4,Bulky Tanks
845,Cramorant,Flying,Water,70,85,55,85,95,85,475,0,Fast Sweepers
846,Arrokuda,Water,,41,63,40,40,30,66,280,3,Balanced/Mixed
847,Barraskewda,Water,,61,123,60,60,50,136,490,1,Physical Bruisers
848,Toxel,Electric,Poison,40,38,35,54,35,40,242,3,Balanced/Mixed
849,Toxtricity,Electric,Poison,75,98,70,114,70,75,502,0,Fast Sweepers
850,Sizzlipede,Fire,Bug,50,65,45,50,50,45,305,3,Balanced/Mixed
851,Centiskorch,Fire,Bug,100,115,65,90,90,65,525,1,Physical Bruisers
852,Clobbopus,Fighting,,50,68,60,50,50,32,310,3,Balanced/Mixed
853,Grapploct,Fighting,,80,118,90,70,80,42,480,1,Physical Bruisers
854,Sinistea,Ghost,,40,45,45,74,54,50,308,3,Balanced/Mixed
855,Polteageist,Ghost,,60,65,65,134,114,70,508,2,Special Cannons
856,Hatenna,Psychic,,42,30,45,56,53,39,265,3,Balanced/Mixed
857,Hattrem,Psychic,,57,40,65,86,73,49,370,0,Fast Sweepers
858,Hatterene,Psychic,Fairy,57,90,95,136,103,29,510,2,Special Cannons
859,Impidimp,Dark,Fairy,45,45,30,55,40,50,265,3,Balanced/Mixed
860,Morgrem,Dark,Fairy,65,60,45,75,55,70,370,0,Fast Sweepers
861,Grimmsnarl,Dark,Fairy,95,120,65,95,75,60,510,1,Physical Bruisers
862,Obstagoon,Dark,Normal,93,90,101,60,81,95,520,1,Physical Bruisers
863,Perrserker,Steel,,70,110,100,50,60,50,440,4,Bulky Tanks
864,Cursola,Ghost,,60,95,50,145,130,30,510,2,Special Cannons
865,Sirfetch'd,Fighting,,62,135,95,68,82,65,507,1,Physical Bruisers
866,Mr. Rime,Ice,Psychic,80,85,75,110,100,70,520,2,Special Cannons
867,Runerigus,Ground,Ghost,58,95,145,50,105,30,483,4,Bulky Tanks
868,Milcery,Fairy,,45,40,40,50,61,34,270,3,Balanced/Mixed
869,Alcremie,Fairy,,65,60,75,110,121,64,495,2,Special Cannons
870,Falinks,Fighting,,65,100,100,70,60,75,470,4,Bulky Tanks
871,Pincurchin,Electric,,48,101,95,91,85,15,435,5,Balanced/Mixed
872,Snom,Ice,Bug,30,25,35,45,30,20,185,3,Balanced/Mixed
873,Frosmoth,Ice,Bug,70,65,60,125,90,65,475,2,Special Cannons
874,Stonjourner,Rock,,100,125,135,20,20,70,470,4,Bulky Tanks
875,Eiscue,Ice,,75,80,110,65,90,50,470,5,Balanced/Mixed
876,Indeedee,Psychic,Normal,60,65,55,105,95,95,475,2,Special Cannons
877,Morpeko,Electric,Dark,58,95,58,70,58,97,436,0,Fast Sweepers
878,Cufant,Steel,,72,80,49,40,49,40,330,3,Balanced/Mixed
879,Copperajah,Steel,,122,130,69,80,69,30,500,1,Physical Bruisers
880,Dracozolt,Electric,Dragon,90,100,90,80,70,75,505,1,Physical Bruisers
881,Arctozolt,Electric,Ice,90,100,90,90,80,55,505,1,Physical Bruisers
882,Dracovish,Water,Dragon,90,90,100,70,80,75,505,1,Physical Bruisers
883,Arctovish,Water,Ice,90,90,100,80,90,55,505,5,Balanced/Mixed
884,Duraludon,Steel,Dragon,70,95,115,120,50,85,535,4,Bulky Tanks
885,Dreepy,Dragon,Ghost,28,60,30,40,30,82,270,3,Balanced/Mixed
886,Drakloak,Dragon,Ghost,68,80,50,60,50,102,410,0,Fast Sweepers
887,Dragapult,Dragon,Ghost,88,120,75,100,75,142,600,1,Physical Bruisers
888,Zacian,Fairy,,92,120,115,80,115,138,660,1,Physical Bruisers
889,Zamazenta,Fighting,,92,120,115,80,115,138,660,1,Physical Bruisers
890,Eternatus,Poison,Dragon,140,85,95,145,95,130,690,2,Special Cannons
891,Kubfu,Fighting,,60,90,60,53,50,72,385,0,Fast Sweepers
892,Urshifu,Fighting,Dark,100,130,100,63,60,97,550,1,Physical Bruisers
893,Zarude,Dark,Grass,105,120,105,70,95,105,600,1,Physical Bruisers
894,Regieleki,Electric,,80,100,50,100,50,200,580,0,Fast Sweepers
895,Regidrago,Dragon,,200,100,50,100,50,80,580,1,Physical Bruisers
896,Glastrier,Ice,,100,145,130,65,110,30,580,1,Physical Bruisers
897,Spectrier,Ghost,,100,65,60,145,80,130,580,2,Special Cannons
898,Calyrex,Psychic,Grass,100,80,80,80,80,80,500,0,Fast Sweepers
899,Wyrdeer,Normal,Psychic,103,105,72,105,75,65,525,2,Special Cannons
900,Kleavor,Bug,Rock,70,135,95,45,70,85,500,1,Physical Bruisers
901,Ursaluna,Ground,Normal,130,140,105,45,80,50,550,1,Physical Bruisers
902,Basculegion,Water,Ghost,120,112,65,80,75,78,530,1,Physical Bruisers
903,Sneasler,Fighting,Poison,80,130,60,40,80,120,510,1,Physical Bruisers
904,Overqwil,Dark,Poison,85,115,95,65,65,85,510,1,Physical Bruisers
905,Enamorus,Fairy,Flying,74,115,70,135,80,106,580,2,Special Cannons
906,Sprigatito,Grass,,40,61,54,45,45,65,310,3,Balanced/Mixed
907,Floragato,Grass,,61,80,63,60,63,83,410,0,Fast Sweepers
908,Meowscarada,Grass,Dark,76,110,70,81,70,123,530,1,Physical Bruisers
909,Fuecoco,Fire,,67,45,59,63,40,36,310,3,Balanced/Mixed
910,Crocalor,Fire,,81,55,78,90,58,49,411,0,Fast Sweepers
911,Skeledirge,Fire,Ghost,104,75,100,110,75,66,530,2,Special Cannons
912,Quaxly,Water,,55,65,45,50,45,50,310,3,Balanced/Mixed
913,Quaxwell,Water,,70,85,65,65,60,65,410,0,Fast Sweepers
914,Quaquaval,Water,Fighting,85,120,80,85,75,85,530,1,Physical Bruisers
915,Lechonk,Normal,,54,45,40,35,45,35,254,3,Balanced/Mixed
916,Oinkologne,Normal,,110,100,75,59,80,65,489,1,Physical Bruisers
917,Tarountula,Bug,,35,41,45,29,40,20,210,3,Balanced/Mixed
918,Spidops,Bug,,60,79,92,52,86,35,404,5,Balanced/Mixed
919,Nymble,Bug,,33,46,40,21,25,45,210,3,Balanced/Mixed
920,Lokix,Bug,Dark,71,102,78,52,55,92,450,1,Physical Bruisers
921,Pawmi,Electric,,45,50,20,40,25,60,240,3,Balanced/Mixed
922,Pawmo,Electric,Fighting,60,75,40,50,40,85,350,3,Balanced/Mixed
923,Pawmot,Electric,Fighting,70,115,70,70,60,105,490,1,Physical Bruisers
924,Tandemaus,Normal,,50,50,45,40,45,75,305,3,Balanced/Mixed
925,Maushold,Normal,,74,75,70,65,75,111,470,0,Fast Sweepers
926,Fidough,Fairy,,37,55,70,30,55,65,312,3,Balanced/Mixed
927,Dachsbun,Fairy,,57,80,115,50,80,95,477,4,Bulky Tanks
928,Smoliv,Grass,Normal,41,35,45,58,51,30,260,3,Balanced/Mixed
929,Dolliv,Grass,Normal,52,53,60,78,78,33,354,3,Balanced/Mixed
930,Arboliva,Grass,Normal,78,69,90,125,109,39,510,2,Special Cannons
931,Squawkabilly,Normal,Flying,82,96,51,45,51,92,417,1,Physical Bruisers
932,Nacli,Rock,,55,55,75,35,35,25,280,3,Balanced/Mixed
933,Naclstack,Rock,,60,60,100,35,65,35,355,5,Balanced/Mixed
934,Garganacl,Rock,,100,100,130,45,90,35,500,4,Bulky Tanks
935,Charcadet,Fire,,40,50,40,50,40,35,255,3,Balanced/Mixed
936,Armarouge,Fire,Psychic,85,60,100,125,80,75,525,2,Special Cannons
937,Ceruledge,Fire,Ghost,75,125,80,60,100,85,525,1,Physical Bruisers
938,Tadbulb,Electric,,61,31,41,59,35,45,272,3,Balanced/Mixed
939,Bellibolt,Electric,,109,64,91,103,83,45,495,2,Special Cannons
940,Wattrel,Electric,Flying,40,40,35,55,40,70,280,3,Balanced/Mixed
941,Kilowattrel,Electric,Flying,70,70,60,105,60,125,490,0,Fast Sweepers
942,Maschiff,Dark,,60,78,60,40,51,51,340,3,Balanced/Mixed
943,Mabosstiff,Dark,,80,120,90,60,70,85,505,1,Physical Bruisers
944,Shroodle,Poison,Normal,40,65,35,40,35,75,290,3,Balanced/Mixed
945,Grafaiai,Poison,Normal,63,95,65,80,72,110,485,0,Fast Sweepers
946,Bramblin,Grass,Ghost,40,65,30,45,35,60,275,3,Balanced/Mixed
947,Brambleghast,Grass,Ghost,55,115,70,80,70,90,480,1,Physical Bruisers
948,Toedscool,Ground,Grass,40,40,35,50,100,70,335,3,Balanced/Mixed
949,Toedscruel,Ground,Grass,80,70,65,80,120,100,515,2,Special Cannons
950,Klawf,Rock,,70,100,115,35,55,75,450,4,Bulky Tanks
951,Capsakid,Grass,,50,62,40,62,40,50,304,3,Balanced/Mixed
952,Scovillain,Grass,Fire,65,108,65,108,65,75,486,0,Fast Sweepers
953,Rellor,Bug,,41,50,60,31,58,30,270,3,Balanced/Mixed
954,Rabsca,Bug,Psychic,75,50,85,115,100,45,470,2,Special Cannons
955,Flittle,Psychic,,30,35,30,55,30,75,255,3,Balanced/Mixed
956,Espathra,Psychic,,95,60,60,101,60,105,481,0,Fast Sweepers
957,Tinkatink,Fairy,Steel,50,45,45,35,64,58,297,3,Balanced/Mixed
958,Tinkatuff,Fairy,Steel,65,55,55,45,82,78,380,0,Fast Sweepers
959,Tinkaton,Fairy,Steel,85,75,77,70,105,94,506,2,Special Cannons
960,Wiglett,Water,,10,55,25,35,25,95,245,3,Balanced/Mixed
961,Wugtrio,Water,,35,100,50,50,70,120,425,0,Fast Sweepers
962,Bombirdier,Flying,Dark,70,103,85,60,85,82,485,1,Physical Bruisers
963,Finizen,Water,,70,45,40,45,40,75,315,3,Balanced/Mixed
964,Palafin,Water,,100,70,72,53,62,100,457,0,Fast Sweepers
965,Varoom,Steel,Poison,45,70,63,30,45,47,300,3,Balanced/Mixed
966,Revavroom,Steel,Poison,80,119,90,54,67,90,500,1,Physical Bruisers
967,Cyclizar,Dragon,Normal,70,95,65,85,65,121,501,0,Fast Sweepers
968,Orthworm,Steel,,70,85,145,60,55,65,480,4,Bulky Tanks
969,Glimmet,Rock,Poison,48,35,42,105,60,60,350,0,Fast Sweepers
970,Glimmora,Rock,Poison,83,55,90,130,81,86,525,2,Special Cannons
971,Greavard,Ghost,,50,61,60,30,55,34,290,3,Balanced/Mixed
972,Houndstone,Ghost,,72,101,100,50,97,68,488,1,Physical Bruisers
973,Flamigo,Flying,Fighting,82,115,74,75,64,90,500,1,Physical Bruisers
974,Cetoddle,Ice,,108,68,45,30,40,43,334,3,Balanced/Mixed
975,Cetitan,Ice,,170,113,65,45,55,73,521,1,Physical Bruisers
976,Veluza,Water,Psychic,90,102,73,78,65,70,478,1,Physical Bruisers
977,Dondozo,Water,,150,100,115,65,65,35,530,4,Bulky Tanks
978,Tatsugiri,Dragon,Water,68,50,60,120,95,82,475,2,Special Cannons
979,Annihilape,Fighting,Ghost,110,115,80,50,90,90,535,1,Physical Bruisers
980,Clodsire,Poison,Ground,130,75,60,45,100,20,430,5,Balanced/Mixed
981,Farigiraf,Normal,Psychic,120,90,70,110,70,60,520,2,Special Cannons
982,Dudunsparce,Normal,,125,100,80,85,75,55,520,1,Physical Bruisers
983,Kingambit,Dark,Steel,100,135,120,60,85,50,550,1,Physical Bruisers
984,Great Tusk,Ground,Fighting,115,131,131,53,53,87,570,4,Bulky Tanks
985,Scream Tail,Fairy,Psychic,115,65,99,65,115,111,570,2,Special Cannons
986,Brute Bonnet,Grass,Dark,111,127,99,79,99,55,570,1,Physical Bruisers
987,Flutter Mane,Ghost,Fairy,55,55,55,135,135,135,570,2,Special Cannons
988,Slither Wing,Bug,Fighting,85,135,79,85,105,81,570,1,Physical Bruisers
989,Sandy Shocks,Electric,Ground,85,81,97,121,85,101,570,2,Special Cannons
990,Iron Treads,Ground,Steel,90,112,120,72,70,106,570,4,Bulky Tanks
991,Iron Bundle,Ice,Water,56,80,114,124,60,136,570,2,Special Cannons
992,Iron Hands,Fighting,Electric,154,140,108,50,68,50,570,1,Physical Bruisers
993,Iron Jugulis,Dark,Flying,94,80,86,122,80,108,570,2,Special Cannons
994,Iron Moth,Fire,Poison,80,70,60,140,110,110,570,2,Special Cannons
995,Iron Thorns,Rock,Electric,100,134,110,70,84,72,570,1,Physical Bruisers
996,Frigibax,Dragon,Ice,65,75,45,35,45,55,320,3,Balanced/Mixed
997,Arctibax,Dragon,Ice,90,95,66,45,65,62,423,1,Physical Bruisers
998,Baxcalibur,Dragon,Ice,115,145,92,75,86,87,600,1,Physical Bruisers
999,Gimmighoul,Ghost,,45,30,70,75,70,10,300,3,Balanced/Mixed
1000,Gholdengo,Steel,Ghost,87,60,95,133,91,84,550,2,Special Cannons
1001,Wo-Chien,Dark,Grass,85,85,100,95,135,70,570,2,Special Cannons
1002,Chien-Pao,Dark,Ice,80,120,80,90,65,135,570,1,Physical Bruisers
1003,Ting-Lu,Dark,Ground,155,110,125,55,80,45,570,4,Bulky Tanks
1004,Chi-Yu,Dark,Fire,55,80,80,135,120,100,570,2,Special Cannons
1005,Roaring Moon,Dragon,Dark,105,139,71,55,101,119,590,1,Physical Bruisers
1006,Iron Valiant,Fairy,Fighting,74,130,90,120,60,116,590,1,Physical Bruisers
1007,Koraidon,Fighting,Dragon,100,135,115,85,100,135,670,1,Physical Bruisers
1008,Miraidon,Electric,Dragon,100,85,100,135,115,135,670,2,Special Cannons
1009,Walking Wake,Water,Dragon,99,83,91,125,83,109,590,2,Special Cannons
1010,Iron Leaves,Grass,Psychic,90,130,88,70,108,104,590,1,Physical Bruisers
1011,Dipplin,Grass,Dragon,80,80,110,95,80,40,485,5,Balanced/Mixed
1012,Poltchageist,Grass,Ghost,40,45,45,74,54,50,308,3,Balanced/Mixed
1013,Sinistcha,Grass,Ghost,71,60,106,121,80,70,508,2,Special Cannons
1014,Okidogi,Poison,Fighting,88,128,115,58,86,80,555,1,Physical Bruisers
1015,Munkidori,Poison,Psychic,88,75,66,130,90,106,555,2,Special Cannons
1016,Fezandipiti,Poison,Fairy,88,91,82,70,125,99,555,2,Special Cannons
1017,Ogerpon,Grass,,80,120,84,60,96,110,550,1,Physical Bruisers
1018,Archaludon,Steel,Dragon,90,105,130,125,65,85,600,4,Bulky Tanks
1019,Hydrapple,Grass,Dragon,106,80,110,120,80,44,540,2,Special Cannons
1020,Gouging Fire,Fire,Dragon,105,115,121,65,93,91,590,1,Physical Bruisers
1021,Raging Bolt,Electric,Dragon,125,73,91,137,89,75,590,2,Special Cannons
1022,Iron Boulder,Rock,Psychic,90,120,80,68,108,124,590,1,Physical Bruisers
1023,Iron Crown,Steel,Psychic,90,72,100,122,108,98,590,2,Special Cannons
1024,Terapagos,Normal,,90,65,85,65,85,60,450,5,Balanced/Mixed
1025,Pecharunt,Poison,Ghost,88,88,160,88,88,88,600,4,Bulky Tanks
